	BRCA	COAD	LUAD	OV
DAISY	0.61±0.02	0.38±0.02	0.44±0.03	0.41±0.04
DiscoverSL	0.54±0.02	0.54±0.02	0.54±0.03	0.45±0.04
pca-gCMF	0.92±0.01	0.54±0.03	0.87±0.03	0.94±0.02
Elastic Net	0.84±0.01	0.6±0.02	0.85±0.02	0.59±0.03
L0L2	0.84±0.01	0.6±0.02	0.85±0.02	0.59±0.03
Random Forest	0.86±0.01	0.63±0.02	0.87±0.02	0.57±0.07
MUVR	0.86±0.01	0.64±0.01	0.86±0.01	0.54±0.07
Elastic Net (All)	0.77±0.02	0.53±0.02	0.8±0.02	0.5±0.04
L0L2 (All)	0.74±0.01	0.52±0.02	0.81±0.02	0.5±0.04
Random Forest (All)	0.8±0.02	0.61±0.02	0.83±0.02	0.53±0.05
MUVR (All)	0.82±0.02	0.6±0.01	0.83±0.02	0.52±0.04
Elastic Net (Unbalanced)	0.65±0.02	0.52±0.02	0.74±0.02	0.4±0.04
L0L2 (Unbalanced)	0.64±0.02	0.52±0.02	0.73±0.03	0.4±0.04
Random Forest (Unbalanced)	0.75±0.02	0.62±0.02	0.8±0.02	0.55±0.04
MUVR (Unbalanced)	0.76±0.01	0.62±0.02	0.81±0.02	0.55±0.06
