method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5003462603878116,0.5131578947368421,0.7254183520029126
GCATSL,2,0.5185185185185185,0.5185185185185186,0.8515562687131315
GCATSL,3,0.5,0.5,0.9153868108346573
GCATSL,4,0.5,0.5,0.835050117705662
GCATSL,5,0.45598655855066106,0.4879878494310502,0.47124400094990504
GCATSL,6,0.49514563106796117,0.5,0.8734100503020833
GCATSL,7,0.5,0.5,0.9102235647287088
GCATSL,8,0.5,0.5,0.894835413722437
GCATSL,9,0.5,0.5,0.835050117705662
GCATSL,10,0.4913817868428612,0.4971751412429379,0.7454539542698515
pca-gCMF,1,0.4224376731301939,0.4630715729546795,0.34822941880362795
pca-gCMF,2,0.5171467764060356,0.5142166618762322,0.4293728149120306
pca-gCMF,3,0.5177816224529028,0.5577117630820146,0.6305517527690814
pca-gCMF,4,0.521412037037037,0.490864857404499,0.369399250564406
pca-gCMF,5,0.5234860106654979,0.5386255775122605,0.5634403954608748
pca-gCMF,6,0.46403996606654724,0.5290378706978602,0.5971562290026655
pca-gCMF,7,0.6008230452674898,0.6206873625707393,0.6860085761766302
pca-gCMF,8,0.5379817331254177,0.5207623682286143,0.47332179352484227
pca-gCMF,9,0.48341049382716056,0.5290582020954167,0.5711073156209682
pca-gCMF,10,0.41338695777075557,0.45416068502778023,0.4031324010414192
GRSMF,1,0.6322714681440443,0.6285446718660647,0.645718519291988
GRSMF,2,0.53360768175583,0.5991903068187852,0.698684952483972
GRSMF,3,0.5965974625144176,0.6187877060479678,0.7023533024407886
GRSMF,4,0.550733024691358,0.5460217710110422,0.52615081122989
GRSMF,5,0.34889327197019504,0.41109364878309973,0.3028987936668638
GRSMF,6,0.5085776227731171,0.5241264041962479,0.5339406088341504
GRSMF,7,0.59564090839811,0.6199389067346044,0.6885254812629783
GRSMF,8,0.5582535085765203,0.5640920008975345,0.5769704533241382
GRSMF,9,0.5380015432098766,0.5112130304079942,0.42165119701926207
GRSMF,10,0.5208273484630853,0.5454771334382563,0.567836891570169
Elastic Net,1,0.7970914127423823,0.8342089708280193,0.9480520586127801
Elastic Net,2,0.7503429355281206,0.822876101409683,0.9654613677897991
Elastic Net,3,0.8286236063052672,0.8712440775739289,0.9849434940648273
Elastic Net,4,0.7166280864197531,0.7908301304646657,0.9429325207370968
Elastic Net,5,0.5906932573599241,0.663937796642484,0.8006565996165369
Elastic Net,6,0.5835611273447073,0.6407062463593023,0.7584473765273705
Elastic Net,7,0.8004877305288827,0.8628842800034631,0.9836045059841395
Elastic Net,8,0.6830028959679216,0.769827898156965,0.9266331679653739
Elastic Net,9,0.726466049382716,0.7586912850095571,0.8633031703888515
Elastic Net,10,0.5024418270611893,0.5391735670367025,0.5683364891610946
L0L2,1,0.806786703601108,0.8409053975167465,0.9492425348032563
L0L2,2,0.7489711934156378,0.8235755979536357,0.9705118728403043
L0L2,3,0.8263168012302962,0.8703303787612402,0.985930914336179
L0L2,4,0.7339891975308641,0.7994816019776967,0.9454541472777945
L0L2,5,0.6019431660457302,0.6685351355478626,0.8022387444418008
L0L2,6,0.5438778395701762,0.5917496769272695,0.6933738262246127
L0L2,7,0.7980490778844688,0.8622378389081676,0.9854621089286992
L0L2,8,0.6865671641791045,0.7663230085138202,0.916482161839093
L0L2,9,0.7700617283950618,0.8194864020894957,0.9388200750007157
L0L2,10,0.45303073829359375,0.517692651713085,0.5751911393279631
Random Forest,1,0.7344182825484765,0.785156165297943,0.9144999949124326
Random Forest,2,0.7517146776406036,0.7786949895169908,0.8765855377374987
Random Forest,3,0.6303344867358708,0.5960375114006736,0.6115503535930032
Random Forest,4,0.7296489197530864,0.7845881937174857,0.9275993670334719
Random Forest,5,0.659945941997224,0.6959028580868281,0.8334503190557851
Random Forest,6,0.5096144782731643,0.5116755024773745,0.4914920371811493
Random Forest,7,0.7513336381649138,0.754438150414197,0.8168777454518605
Random Forest,8,0.7600801960347516,0.7933056957051482,0.9124091824451454
Random Forest,9,0.7525077160493826,0.8163715816660735,0.9624180099249514
Random Forest,10,0.6022694627980465,0.5976117074222974,0.6269026428830157
MUVR,1,0.7725069252077562,0.7606376943474044,0.8028762788370004
MUVR,2,0.7709190672153636,0.7804074662874485,0.8511608308176938
MUVR,3,0.7966166858900424,0.8199900169081846,0.9219798340053051
MUVR,4,0.7244405864197531,0.7862102079183783,0.9297706849372417
MUVR,5,0.6238585725765213,0.685561685346978,0.8302738939731171
MUVR,6,0.5682439438212837,0.6120012752415567,0.7192350906442844
MUVR,7,0.7783874409388811,0.8086765078898354,0.9019566632891014
MUVR,8,0.7334595678324795,0.7810972869948971,0.9233047421764314
MUVR,9,0.767457561728395,0.8146236581594453,0.943978662635118
MUVR,10,0.6302786555587474,0.5974297267919373,0.5947626427302942
