method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5,0.5,0.9588373853754454
GCATSL,2,0.49586776859504134,0.49794336189248617,0.9142742608560902
GCATSL,3,0.5028942695171095,0.5106135267274486,0.6529049147472437
GCATSL,4,0.5020832974638866,0.5010612397594453,0.9547637289903126
GCATSL,5,0.5036242488937862,0.5116531628339411,0.6182735888119988
GCATSL,6,0.5073518017940462,0.5060108300797193,0.6628815872941356
GCATSL,7,0.5,0.5,0.9629131893767735
GCATSL,8,0.5,0.5,0.9629131893767735
GCATSL,9,0.5,0.5,0.9629131893767735
GCATSL,10,0.48659630516003516,0.5031277380323516,0.5935811061167882
pca-gCMF,1,0.5122259408510348,0.4977069787999299,0.46161756199505655
pca-gCMF,2,0.5502868656512534,0.5628801015544997,0.6133098804147836
pca-gCMF,3,0.5191756027593744,0.5320002906266821,0.5625987866921426
pca-gCMF,4,0.49096950810075585,0.5206324560357944,0.5568456590699404
pca-gCMF,5,0.48676847850415805,0.4965229064221348,0.49150280152555553
pca-gCMF,6,0.49470566966822194,0.4949067007412615,0.4697779096291231
pca-gCMF,7,0.4842719650143765,0.5049089807602786,0.5281067197459055
pca-gCMF,8,0.5326354573784886,0.5307634193887949,0.5455038692094971
pca-gCMF,9,0.5314818959728654,0.5410362388496215,0.568185094734339
pca-gCMF,10,0.521891840705222,0.5241567363193609,0.5280081312779409
GRSMF,1,0.5316918243289392,0.5144392806656608,0.4941931993920548
GRSMF,2,0.525988661976641,0.5210263257730654,0.5127507521929459
GRSMF,3,0.5249812171299775,0.5128509428939418,0.4880911439617437
GRSMF,4,0.5247154835488369,0.5233765923562907,0.529085477449659
GRSMF,5,0.5215991460202132,0.5048912467244769,0.47148909058305605
GRSMF,6,0.5208415833060726,0.5114291500946662,0.49260466177616635
GRSMF,7,0.5106144866651745,0.5090493805977916,0.4932193112704618
GRSMF,8,0.5532704326716138,0.5285204589265875,0.5028216629171489
GRSMF,9,0.55629207486097,0.5268292010999878,0.4922095957389797
GRSMF,10,0.5361305762641827,0.5313104147825995,0.5339212099870831
Elastic Net,1,0.6312581107847826,0.6338518265934392,0.7033814726293748
Elastic Net,2,0.608428386039205,0.5965528463706768,0.636177245368491
Elastic Net,3,0.5652448603237484,0.5352358470929606,0.5173434541371058
Elastic Net,4,0.5837020712453298,0.5595072443982724,0.5680004424681923
Elastic Net,5,0.5984745441710714,0.5727278235175874,0.6019417176327203
Elastic Net,6,0.6432310049758097,0.656751244210398,0.753090477730997
Elastic Net,7,0.5753172293865464,0.5564379553117623,0.5616493419362987
Elastic Net,8,0.6520204541932817,0.6511758790131834,0.7437188982964421
Elastic Net,9,0.6125583237203216,0.5963634751332041,0.6329089691695018
Elastic Net,10,0.6326509529794597,0.6237242284219044,0.6912273404778289
L0L2,1,0.6252134417048015,0.6281752356595056,0.6999696766764528
L0L2,2,0.5958780137968718,0.5985372505480951,0.6505450063169521
L0L2,3,0.572057919541015,0.5477168040864377,0.5439873443619775
L0L2,4,0.587145538127787,0.55574542789662,0.5486693500428628
L0L2,5,0.593154387837675,0.5889640040316759,0.6332754661302089
L0L2,6,0.64048484013705,0.6268873958975043,0.6784328856170284
L0L2,7,0.5746457533444672,0.5487242184063906,0.5413556203015133
L0L2,8,0.6258845405554312,0.6001631524591007,0.6265661903019868
L0L2,9,0.6053270432671614,0.5961687453839968,0.6358594531193266
L0L2,10,0.6346309464368727,0.6238721702305082,0.6847789154272632
Random Forest,1,0.635783074926576,0.6172306699298091,0.6588287412052438
Random Forest,2,0.6176917560275937,0.6186697103008965,0.6849645496793472
Random Forest,3,0.5949986339730893,0.5726230287092543,0.6015506707012371
Random Forest,4,0.6077288614176752,0.5933596888276366,0.6327677435786492
Random Forest,5,0.6263924519205937,0.6115071589391128,0.659207978724315
Random Forest,6,0.6222258569928203,0.6298453724623221,0.7162022827826908
Random Forest,7,0.622862898366075,0.5848543907396044,0.5943827003224949
Random Forest,8,0.6407603174876465,0.636734755448526,0.7086852836752751
Random Forest,9,0.6109829376215974,0.5782661124926951,0.5927109984015877
Random Forest,10,0.6327800829875518,0.6142323161949068,0.6666287599371744
MUVR,1,0.6502885731848917,0.6412632809962345,0.6950273339746866
MUVR,2,0.6520473328324569,0.6158892686803962,0.6407782866025196
MUVR,3,0.608300321016324,0.5732863917698782,0.5742510635659368
MUVR,4,0.6136602331227079,0.5876532545188262,0.6056140108701228
MUVR,5,0.6196604741653897,0.605370533558354,0.6539756035363282
MUVR,6,0.6375923279557858,0.6264511610803336,0.6880268650294499
MUVR,7,0.5987500215216681,0.5651338411684343,0.5640550508645885
MUVR,8,0.6241800244486149,0.6022966816150687,0.6352717560340159
MUVR,9,0.6356123344983731,0.6042234316149262,0.6283468970137686
MUVR,10,0.6165269193023537,0.602432818346776,0.644463512186229
