method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5227272727272727,0.5227272727272727,0.8285775732204304
GCATSL,2,0.5350765306122449,0.5394219507024778,0.513399536193654
GCATSL,3,0.40368178829717294,0.4621016528271778,0.36754887173191997
GCATSL,4,0.48074921956295524,0.48870967741935484,0.5196187352379303
GCATSL,5,0.6,0.6033333333333334,0.7925396825396825
GCATSL,6,0.5,0.5,0.7930609887969866
GCATSL,7,0.49,0.4776984126984127,0.19166666666666665
GCATSL,8,0.501736111111111,0.563817529935951,0.5938143453768454
GCATSL,9,0.3877551020408163,0.4714285714285715,0.24556965819220722
GCATSL,10,0.5290858725761772,0.5526315789473684,0.8408801124646732
pca-gCMF,1,0.6466942148760331,0.612332457166701,0.5393513232798947
pca-gCMF,2,0.5255102040816326,0.5428778076036788,0.5347868679976523
pca-gCMF,3,0.5239973701512162,0.5187499912525468,0.45991663416065715
pca-gCMF,4,0.5608740894901144,0.5606091455024743,0.5537091507563644
pca-gCMF,5,0.7466666666666666,0.6880901116427433,0.6255952380952381
pca-gCMF,6,0.4662629757785467,0.48908253899117926,0.42858297708952087
pca-gCMF,7,0.5,0.6535011771853877,0.8083333333333332
pca-gCMF,8,0.45486111111111116,0.4731363306250056,0.36049185189810196
pca-gCMF,9,0.6160714285714285,0.6530215851344494,0.7222349047103946
pca-gCMF,10,0.4688365650969529,0.4993330385669875,0.47170959922804045
GRSMF,1,0.41115702479338845,0.4428442647903069,0.20444040086897228
GRSMF,2,0.5459183673469389,0.552108468689768,0.5325987012261522
GRSMF,3,0.39710716633793564,0.44545932838667274,0.30619889692040664
GRSMF,4,0.49219562955254936,0.505092487255256,0.4158903877769977
GRSMF,5,0.3111111111111111,0.40394286560480164,0.16357142857142856
GRSMF,6,0.3408304498269896,0.3981974216249975,0.13960416694198005
GRSMF,7,0.21,0.378079885800474,0.0
GRSMF,8,0.4340277777777778,0.4621911910059604,0.34096060189810196
GRSMF,9,0.3022959183673469,0.3899035046806656,0.17373931442558896
GRSMF,10,0.3684210526315789,0.4139979994258516,0.1999190717898485
Elastic Net,1,0.5805785123966942,0.5847863704293321,0.5936640740212169
Elastic Net,2,0.5943877551020409,0.6709508780746691,0.783221580525502
Elastic Net,3,0.5936883629191322,0.6506066215110272,0.7377135694956578
Elastic Net,4,0.6472424557752341,0.591619447689037,0.5246085087513106
Elastic Net,5,0.6133333333333333,0.6763286850254395,0.7711507936507936
Elastic Net,6,0.7076124567474049,0.6933465928680612,0.7395690588221548
Elastic Net,7,0.5,0.6588048552754434,0.8361111111111111
Elastic Net,8,0.5833333333333335,0.5473186618760975,0.4513547216672217
Elastic Net,9,0.6403061224489797,0.6346770765063103,0.6541300701839917
Elastic Net,10,0.5997229916897507,0.5977338479013862,0.6102382516916236
L0L2,1,0.5888429752066116,0.5691200257136131,0.5238751328037042
L0L2,2,0.5982142857142857,0.6835960982309042,0.8101337342758909
L0L2,3,0.6226166995397764,0.6669411026251685,0.7519061812573208
L0L2,4,0.6534859521331946,0.6038695708240096,0.5526839055767073
L0L2,5,0.6488888888888888,0.7079261226755087,0.7961507936507937
L0L2,6,0.703287197231834,0.7065627065195766,0.782327815217275
L0L2,7,0.57,0.6636999550157444,0.7805555555555556
L0L2,8,0.5607638888888888,0.5742010279523992,0.553141996891997
L0L2,9,0.6811224489795918,0.721150101112045,0.8273735931824164
L0L2,10,0.6163434903047091,0.6290692529621099,0.6824861026112876
Random Forest,1,0.6590909090909092,0.644300695749948,0.6646072181786468
Random Forest,2,0.6409438775510204,0.630759576337383,0.6553698253453154
Random Forest,3,0.6173570019723866,0.616315196680973,0.6571775377599357
Random Forest,4,0.6155046826222685,0.6143600649251476,0.6468112569834704
Random Forest,5,0.68,0.6994159239453357,0.7634920634920634
Random Forest,6,0.6128892733564014,0.6217720109478833,0.6769443330694385
Random Forest,7,0.42,0.47065212049732175,0.08888888888888889
Random Forest,8,0.5581597222222222,0.5591552643619799,0.5257842851592852
Random Forest,9,0.6658163265306121,0.6619540257938126,0.6708828843632766
Random Forest,10,0.560595567867036,0.5478021438283844,0.5169350408927607
MUVR,1,0.6663223140495868,0.6817502937174403,0.7434381095095379
MUVR,2,0.6007653061224489,0.6468901841984365,0.7566783706489586
MUVR,3,0.6650230111768572,0.6896687274658119,0.7784440781795355
MUVR,4,0.5744016649323621,0.5740719503252806,0.5605193726981652
MUVR,5,0.5955555555555556,0.6328187227102768,0.6496428571428572
MUVR,6,0.6998269896193772,0.713094808974959,0.7928852548927132
MUVR,7,0.28,0.4074786835971046,0.1861111111111111
MUVR,8,0.5763888888888888,0.5495706811499924,0.42021181943056946
MUVR,9,0.7283163265306122,0.7844650055732264,0.9245010254814178
MUVR,10,0.582409972299169,0.5730753138533641,0.5706594136214812
