method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.8010306576993623,0.7926851742415195,0.8157503821221939
GCATSL,2,0.818197121454423,0.8189823151770752,0.9929053953754526
GCATSL,3,0.854046520569012,0.8348489053970232,0.9829603002210813
GCATSL,4,0.7633330722844388,0.7399128476095995,0.7228871283001164
GCATSL,5,0.8210987996306556,0.7954748228309868,0.9512129916243933
GCATSL,6,0.8003719008264462,0.7699302710361736,0.801777333388447
GCATSL,7,0.8038980298001553,0.8006315479807803,0.9201667446910132
GCATSL,8,0.8331404958677686,0.8079581170394015,0.9260095031845209
GCATSL,9,0.8495296556122449,0.8267536912269552,0.9676162921812181
GCATSL,10,0.7791526352885896,0.7240711525266397,0.9195508133641249
pca-gCMF,1,0.8046991003581098,0.7678959060664182,0.7801142319584969
pca-gCMF,2,0.8621328171029375,0.8157634413409611,0.8225222150244438
pca-gCMF,3,0.881199538638985,0.8639824115953272,0.9029090099513728
pca-gCMF,4,0.8143942360404105,0.8110770075298488,0.8695356838769224
pca-gCMF,5,0.8541859033548784,0.8080846635460462,0.8211553836206139
pca-gCMF,6,0.8334710743801653,0.7699843070961874,0.7544822932908538
pca-gCMF,7,0.8584845702987077,0.8277269057883248,0.8601904920055922
pca-gCMF,8,0.8244628099173553,0.7882493552107839,0.8094257123590535
pca-gCMF,9,0.8321906887755101,0.8159317160064957,0.8631648433608169
pca-gCMF,10,0.7735922938366356,0.729723302649652,0.7428590272949799
GRSMF,1,0.7739540571228929,0.7501119832197616,0.7820683646214811
GRSMF,2,0.802541873579665,0.7666420126922137,0.7794155490099767
GRSMF,3,0.826316801230296,0.7671261149864192,0.7414444711046085
GRSMF,4,0.7869841021223274,0.7303217033128541,0.7170400163865839
GRSMF,5,0.8210987996306555,0.7820011128865904,0.7891380749473429
GRSMF,6,0.8046280991735537,0.7428648367640001,0.7351089696851079
GRSMF,7,0.8260716051126333,0.7666617522458176,0.754922422020617
GRSMF,8,0.794710743801653,0.7492616783728242,0.7472833512823666
GRSMF,9,0.7871093750000001,0.7473684432345311,0.7554521432871453
GRSMF,10,0.7109405591667319,0.6892150815963062,0.7109103234201748
Elastic Net,1,0.8605118350947681,0.8684835751340648,0.9427853069364553
Elastic Net,2,0.8527060011783522,0.8565788263821343,0.9147778306106442
Elastic Net,3,0.8884083044982699,0.8979848235169746,0.955045493110773
Elastic Net,4,0.825671548280993,0.8135749160654442,0.8658885406690833
Elastic Net,5,0.8618036318867343,0.8559198025441397,0.908319343705733
Elastic Net,6,0.827190082644628,0.7994858990470679,0.8412176247670382
Elastic Net,7,0.8379351740696279,0.8148913876143927,0.8573129081666601
Elastic Net,8,0.8273553719008265,0.8220659010190381,0.8853609006942195
Elastic Net,9,0.8426339285714286,0.8114057402394319,0.8402327756469138
Elastic Net,10,0.8112616493069152,0.8183015384863581,0.8948880650508854
L0L2,1,0.8640055900078609,0.8678487800896622,0.933442682339753
L0L2,2,0.847824257217406,0.8442362446853651,0.8970446088981033
L0L2,3,0.8865820838139177,0.8962318626573513,0.9612632887559857
L0L2,4,0.8277860443261024,0.817112437076003,0.8699777128057959
L0L2,5,0.8649584487534626,0.8670303034579206,0.9262959395356336
L0L2,6,0.8266115702479339,0.7998424291755024,0.8429548220749286
L0L2,7,0.8269896193771626,0.791869689477704,0.8237481719681562
L0L2,8,0.8163636363636363,0.7987230401482537,0.8524727905652248
L0L2,9,0.853156887755102,0.827905368670141,0.864395518345216
L0L2,10,0.8102435586185293,0.8168530872250613,0.8931406086919547
Random Forest,1,0.8592453489387719,0.8182195115861274,0.8358606793571771
Random Forest,2,0.84218500126252,0.839267996655773,0.9136535462046361
Random Forest,3,0.8909073433294887,0.8754200979515692,0.9321315512990966
Random Forest,4,0.8138460333620486,0.8154950709867649,0.889591132934759
Random Forest,5,0.8716143428747306,0.8387913706606398,0.8668056691039056
Random Forest,6,0.8371487603305785,0.8202780484961998,0.8766496046465357
Random Forest,7,0.8590141939128593,0.8418598074928303,0.8914852907765801
Random Forest,8,0.817603305785124,0.8289596921001998,0.9100129410783055
Random Forest,9,0.847935267857143,0.8425618117745527,0.8947374197173975
Random Forest,10,0.7849087634113869,0.765110711847318,0.8283841061746846
MUVR,1,0.8674120010481264,0.8668353377339009,0.9363995383568714
MUVR,2,0.8410066492719469,0.8240826919190678,0.8739314555642945
MUVR,3,0.8862937331795463,0.8482910966460647,0.8663952504712652
MUVR,4,0.8232046362283656,0.8107029714763228,0.8829344461138734
MUVR,5,0.8705370883348722,0.8514874806665881,0.8927360209834326
MUVR,6,0.820495867768595,0.8054042803803557,0.8624353730842826
MUVR,7,0.8555892945413459,0.8388158549777379,0.8832665820483682
MUVR,8,0.8154545454545455,0.7884793384948336,0.8245887036432613
MUVR,9,0.8434709821428571,0.8438033218659216,0.9056636149531859
MUVR,10,0.7970866943378494,0.7700475334379654,0.8189993130424176
